StartTime(s),RequestType,Latency(ms),ResponseCode
0,POST,84,201
0,POST,84,201
0,POST,87,201
0,POST,125,201
0,POST,134,201
0,POST,136,201
0,POST,85,201
0,POST,85,201
0,POST,123,201
0,POST,123,201
0,POST,123,201
0,POST,123,201
0,POST,125,201
0,POST,125,201
0,POST,132,201
0,POST,123,201
0,POST,123,201
0,POST,124,201
0,POST,124,201
0,POST,126,201
0,POST,79,201
0,POST,82,201
0,POST,82,201
0,POST,82,201
0,POST,82,201
0,POST,82,201
0,POST,120,201
0,POST,123,201
0,POST,123,201
0,POST,125,201
0,POST,81,201
0,POST,81,201
0,POST,81,201
0,POST,83,201
0,POST,83,201
0,POST,84,201
0,POST,130,201
0,POST,86,201
0,POST,86,201
0,POST,88,201
0,POST,88,201
0,POST,88,201
0,POST,88,201
0,POST,88,201
0,POST,88,201
0,POST,88,201
0,POST,88,201
0,POST,88,201
0,POST,88,201
0,POST,88,201
0,POST,90,201
0,POST,90,201
0,POST,90,201
0,POST,90,201
0,POST,90,201
0,POST,90,201
0,POST,91,201
0,POST,101,201
0,POST,76,201
0,POST,90,201
0,POST,90,201
0,POST,95,201
0,POST,95,201
0,POST,95,201
0,POST,95,201
0,POST,95,201
0,POST,95,201
0,POST,95,201
0,POST,95,201
0,POST,100,201
0,POST,84,201
0,POST,92,201
0,POST,92,201
0,POST,92,201
0,POST,92,201
0,POST,93,201
0,POST,93,201
0,POST,93,201
0,POST,93,201
0,POST,93,201
0,POST,94,201
0,POST,91,201
0,POST,92,201
0,POST,92,201
0,POST,92,201
0,POST,92,201
0,POST,93,201
0,POST,93,201
0,POST,93,201
0,POST,93,201
0,POST,92,201
0,POST,92,201
0,POST,92,201
0,POST,92,201
0,POST,92,201
0,POST,92,201
0,POST,94,201
0,POST,94,201
0,POST,96,201
0,POST,93,201
0,POST,93,201
0,POST,101,201
0,POST,87,201
0,POST,90,201
0,POST,92,201
0,POST,93,201
0,POST,83,201
0,POST,90,201
0,POST,89,201
0,POST,87,201
0,POST,88,201
0,POST,90,201
0,POST,90,201
0,POST,90,201
0,POST,90,201
0,POST,90,201
0,POST,90,201
0,POST,90,201
0,POST,90,201
0,POST,90,201
0,POST,90,201
